frame,cars,motorcycles,buses,trucks,total_vehicles,traffic_density
100,10,0,0,1,11,Low
200,8,0,0,0,8,Low
300,8,0,2,3,13,Low
400,9,0,0,0,9,Low
500,12,0,2,1,15,Low
600,13,0,1,2,16,Low
700,10,0,3,2,15,Low
800,14,0,0,2,16,Low
900,15,0,1,1,17,Low
1000,16,0,1,0,17,Low
1100,13,0,0,0,13,Low
1200,12,0,0,1,13,Low
1300,11,0,0,1,12,Low
1400,9,0,1,0,10,Low
1500,9,0,1,0,10,Low
1600,14,0,1,1,16,Low
1700,10,0,3,1,14,Low
1800,12,0,1,0,13,Low
1900,15,0,1,0,16,Low
2000,13,0,1,1,15,Low
2100,16,0,0,0,16,Low
2200,11,0,0,0,11,Low
2300,13,0,0,0,13,Low
2400,13,0,1,0,14,Low
2500,12,0,1,0,13,Low
2600,10,0,2,1,13,Low
2700,10,0,2,1,13,Low
2800,10,0,1,1,12,Low
2900,16,0,0,0,16,Low
3000,16,0,0,0,16,Low
3100,13,0,1,1,15,Low
3200,15,0,2,3,20,Medium
3300,16,0,1,2,19,Low
3400,13,0,0,1,14,Low
3500,18,0,1,0,19,Low
3600,15,0,1,1,17,Low
3700,15,0,0,0,15,Low
3800,15,0,0,0,15,Low
3900,9,0,1,1,11,Low
4000,8,0,0,1,9,Low
4100,11,0,0,0,11,Low
4200,13,0,0,0,13,Low
4300,10,0,1,0,11,Low
4400,12,0,0,1,13,Low
4500,14,0,0,0,14,Low
4600,11,0,0,0,11,Low
4700,13,0,0,1,14,Low
4800,8,0,1,1,10,Low
4900,12,0,2,1,15,Low
5000,10,0,1,1,12,Low
5100,14,0,0,0,14,Low
5200,11,0,1,1,13,Low
5300,10,0,0,0,10,Low
5400,8,0,0,0,8,Low
5500,9,0,0,0,9,Low
5600,8,0,2,2,12,Low
5700,11,0,1,0,12,Low
5800,11,0,1,2,14,Low
5900,11,0,0,0,11,Low
6000,10,0,0,0,10,Low
6100,6,0,0,0,6,Low
6200,9,0,0,0,9,Low
6300,7,0,2,2,11,Low
6400,9,0,2,0,11,Low
6500,10,0,0,1,11,Low
6600,12,0,0,0,12,Low
6700,8,0,0,2,10,Low
6800,10,0,0,0,10,Low
6900,13,0,1,0,14,Low
7000,14,0,0,0,14,Low
7100,9,0,2,2,13,Low
7200,10,0,0,1,11,Low
7300,10,0,0,0,10,Low
7400,12,0,0,1,13,Low
7500,12,0,2,1,15,Low
7600,8,0,1,1,10,Low
7700,11,0,0,1,12,Low
7800,9,0,0,0,9,Low
7900,9,0,0,1,10,Low
8000,9,0,3,1,13,Low
8100,10,0,1,1,12,Low
8200,8,0,1,0,9,Low
8300,9,0,3,1,13,Low
8400,12,0,1,1,14,Low
8500,11,0,0,0,11,Low
8600,12,0,0,0,12,Low
8700,10,0,0,0,10,Low
8800,16,0,0,0,16,Low
8900,12,0,1,2,15,Low
9000,13,0,2,0,15,Low
9100,11,0,1,1,13,Low
9200,14,0,2,0,16,Low
9300,16,0,1,1,18,Low
9400,13,0,1,0,14,Low
9500,8,0,2,1,11,Low
9600,8,0,2,1,11,Low
9700,11,0,1,1,13,Low
9800,8,0,1,0,9,Low
9900,9,0,2,2,13,Low
10000,12,0,1,0,13,Low
10100,11,0,0,0,11,Low
10200,13,0,0,1,14,Low
10300,8,0,2,1,11,Low
10400,11,0,1,0,12,Low
10500,11,0,1,2,14,Low
10600,9,0,2,1,12,Low
10700,11,0,2,1,14,Low
10800,4,0,1,2,7,Low
10900,6,0,2,2,10,Low
11000,10,0,1,0,11,Low
11100,13,0,0,1,14,Low
11200,11,0,0,1,12,Low
11300,11,0,1,0,12,Low
11400,15,0,1,0,16,Low
11500,10,0,0,1,11,Low
11600,12,0,0,0,12,Low
11700,12,0,1,0,13,Low
11800,10,0,0,2,12,Low
11900,10,0,2,1,13,Low
12000,15,0,0,0,15,Low
12100,8,0,0,1,9,Low
12200,9,0,1,0,10,Low
12300,11,0,1,1,13,Low
12400,7,0,3,1,11,Low
12500,14,0,1,1,16,Low
12600,16,0,0,0,16,Low
12700,10,0,0,1,11,Low
12800,10,0,0,1,11,Low
12900,12,0,0,0,12,Low
13000,7,0,1,0,8,Low
13100,7,0,1,3,11,Low
13200,8,0,2,1,11,Low
13300,12,0,1,3,16,Low
13400,11,0,1,1,13,Low
13500,12,0,1,0,13,Low
13600,11,0,0,0,11,Low
13700,16,0,1,0,17,Low
13800,17,0,1,0,18,Low
13900,12,0,1,3,16,Low
14000,12,0,3,1,16,Low
14100,17,0,1,1,19,Low
14200,13,0,2,1,16,Low
14300,13,0,2,1,16,Low
14400,11,0,1,2,14,Low
14500,11,0,0,1,12,Low
14600,13,0,0,0,13,Low
14700,11,0,0,0,11,Low
14800,7,0,0,0,7,Low
14900,6,0,1,2,9,Low
15000,11,0,2,1,14,Low
15100,13,0,1,0,14,Low
15200,8,0,0,0,8,Low
15300,11,0,1,0,12,Low
15400,9,0,3,1,13,Low
15500,8,0,0,1,9,Low
15600,7,0,1,1,9,Low
15700,8,0,2,3,13,Low
15800,12,0,2,1,15,Low
15900,16,0,1,0,17,Low
16000,12,0,0,2,14,Low
16100,9,0,2,2,13,Low
16200,11,0,0,1,12,Low
16300,13,0,1,0,14,Low
16400,10,0,1,0,11,Low
16500,10,0,0,0,10,Low
16600,11,0,1,0,12,Low
16700,13,0,0,1,14,Low
16800,13,0,0,0,13,Low
16900,16,0,0,0,16,Low
17000,11,0,0,1,12,Low
17100,11,0,0,0,11,Low
17200,11,0,1,1,13,Low
17300,10,0,0,1,11,Low
17400,12,0,0,1,13,Low
17500,6,0,3,0,9,Low
17600,9,0,2,0,11,Low
17700,12,0,0,1,13,Low
17800,10,0,0,0,10,Low
17900,10,0,0,0,10,Low
18000,8,0,1,0,9,Low
18100,11,0,0,1,12,Low
18200,9,0,0,1,10,Low
18300,8,0,0,0,8,Low
18400,7,0,0,0,7,Low
18500,7,0,1,1,9,Low
18600,10,0,0,0,10,Low
18700,10,0,0,0,10,Low
18800,7,0,2,0,9,Low
18900,5,0,2,0,7,Low
19000,5,0,2,2,9,Low
19100,9,0,2,1,12,Low
19200,8,0,1,1,10,Low
19300,3,0,0,1,4,Low
19400,6,0,1,1,8,Low
19500,8,0,1,0,9,Low
19600,7,0,2,1,10,Low
19700,6,0,0,0,6,Low
19800,8,0,1,2,11,Low
19900,11,0,0,1,12,Low
20000,10,0,1,1,12,Low
20100,9,0,0,0,9,Low
20200,8,0,0,0,8,Low
20300,9,0,0,0,9,Low
20400,11,0,0,0,11,Low
20500,11,0,2,1,14,Low
20600,11,0,1,1,13,Low
20700,7,0,0,0,7,Low
20800,7,0,1,0,8,Low
20900,12,0,2,0,14,Low
21000,13,0,1,0,14,Low
21100,12,0,0,1,13,Low
21200,14,0,1,1,16,Low
21300,10,0,0,0,10,Low
21400,6,0,1,0,7,Low
21500,6,0,1,2,9,Low
21600,13,0,1,2,16,Low
21700,9,0,0,0,9,Low
21800,8,0,1,1,10,Low
21900,12,0,2,1,15,Low
22000,12,0,1,1,14,Low
22100,12,0,0,1,13,Low
22200,14,0,0,0,14,Low
22300,12,0,1,1,14,Low
22400,9,0,1,1,11,Low
22500,14,0,1,0,15,Low
22600,10,0,0,0,10,Low
22700,10,0,1,1,12,Low
22800,12,0,2,0,14,Low
22900,10,0,0,0,10,Low
23000,11,0,0,0,11,Low
23100,15,0,0,0,15,Low
23200,16,0,0,1,17,Low
23300,12,0,1,1,14,Low
23400,15,0,1,0,16,Low
23500,14,0,0,0,14,Low
23600,10,0,0,2,12,Low
23700,7,0,0,0,7,Low
23800,10,0,1,1,12,Low
23900,14,0,2,1,17,Low
24000,9,0,0,2,11,Low
24100,13,0,1,0,14,Low
24200,12,0,0,0,12,Low
24300,11,0,1,1,13,Low
24400,9,0,0,1,10,Low
24500,12,0,0,0,12,Low
24600,9,0,0,0,9,Low
24700,8,0,0,1,9,Low
24800,10,0,0,0,10,Low
24900,11,0,0,2,13,Low
25000,9,0,1,0,10,Low
25100,8,0,1,0,9,Low
25200,13,0,0,0,13,Low
25300,8,0,1,1,10,Low
25400,8,0,1,0,9,Low
25500,11,0,0,0,11,Low
25600,12,0,0,1,13,Low
25700,13,0,1,1,15,Low
25800,12,0,0,0,12,Low
25900,11,0,1,1,13,Low
26000,10,0,2,2,14,Low
26100,6,0,3,3,12,Low
26200,7,0,1,0,8,Low
26300,8,0,2,2,12,Low
26400,14,0,2,2,18,Low
26500,10,0,0,1,11,Low
26600,14,0,0,0,14,Low
26700,16,0,0,0,16,Low
26800,12,0,1,0,13,Low
26900,16,0,0,1,17,Low
27000,9,0,1,2,12,Low
27100,15,0,0,1,16,Low
27200,14,0,0,0,14,Low
27300,13,0,1,2,16,Low
27400,13,0,1,0,14,Low
27500,10,0,1,0,11,Low
27600,13,0,1,0,14,Low
27700,16,0,0,0,16,Low
27800,16,0,1,1,18,Low
27900,17,0,1,0,18,Low
28000,10,0,0,0,10,Low
28100,8,0,0,0,8,Low
28200,14,0,1,2,17,Low
28300,10,0,2,1,13,Low
28400,11,0,1,1,13,Low
28500,16,0,1,0,17,Low
28600,10,0,1,2,13,Low
28700,7,0,0,0,7,Low
28800,8,0,0,0,8,Low
28900,12,0,1,0,13,Low
29000,9,0,1,1,11,Low
29100,15,0,0,1,16,Low
29200,15,0,0,0,15,Low
29300,12,0,0,0,12,Low
29400,17,0,0,0,17,Low
29500,13,0,1,2,16,Low
29600,13,0,0,1,14,Low
29700,15,0,0,0,15,Low
29800,14,0,2,0,16,Low
29900,12,0,1,0,13,Low
30000,13,0,1,1,15,Low
30100,14,0,0,1,15,Low
30200,13,0,0,0,13,Low
30300,14,0,1,0,15,Low
30400,11,0,0,0,11,Low
30500,7,0,0,1,8,Low
30600,12,0,1,0,13,Low
30700,9,0,0,1,10,Low
30800,7,0,1,1,9,Low
30900,9,0,0,0,9,Low
31000,8,0,1,0,9,Low
31100,13,0,0,2,15,Low
31200,8,0,1,0,9,Low
31300,12,0,0,1,13,Low
31400,9,0,0,0,9,Low
31500,12,0,0,1,13,Low
31600,8,0,2,2,12,Low
31700,6,0,0,0,6,Low
31800,9,0,0,0,9,Low
31900,7,0,0,1,8,Low
32000,7,0,0,1,8,Low
32100,10,0,1,0,11,Low
32200,10,0,1,0,11,Low
32300,13,0,0,0,13,Low
32400,12,0,1,0,13,Low
32500,8,0,1,0,9,Low
32600,11,0,1,0,12,Low
32700,8,0,3,2,13,Low
32800,8,0,1,1,10,Low
32900,7,0,1,0,8,Low
33000,6,0,0,0,6,Low
33100,8,0,0,1,9,Low
33200,10,0,0,1,11,Low
33300,13,0,0,0,13,Low
33400,11,0,2,3,16,Low
33500,6,0,1,1,8,Low
33600,9,0,2,2,13,Low
33700,10,0,1,0,11,Low
33800,10,0,1,0,11,Low
33900,7,0,1,1,9,Low
34000,12,0,0,1,13,Low
34100,14,0,0,0,14,Low
34200,13,0,2,0,15,Low
34300,13,0,0,0,13,Low
34400,10,0,0,0,10,Low
34500,11,0,2,2,15,Low
34600,11,0,1,0,12,Low
34700,13,0,1,0,14,Low
34800,10,0,0,0,10,Low
34900,14,0,1,2,17,Low
35000,7,0,2,0,9,Low
35100,11,0,0,0,11,Low
35200,8,0,2,1,11,Low
35300,10,0,2,2,14,Low
35400,11,0,1,0,12,Low
35500,10,0,1,0,11,Low
35600,9,0,3,2,14,Low
35700,13,0,2,2,17,Low
35800,9,0,0,2,11,Low
35900,12,0,0,3,15,Low
36000,11,0,1,2,14,Low
36100,14,0,2,6,22,Medium
36200,11,0,0,1,12,Low
36300,12,0,1,0,13,Low
36400,10,0,0,3,13,Low
36500,9,0,1,1,11,Low
36600,9,0,2,2,13,Low
36700,12,0,2,0,14,Low
36800,7,0,0,1,8,Low
36900,10,0,2,0,12,Low
37000,11,0,2,1,14,Low
37100,16,0,1,1,18,Low
37200,13,0,1,1,15,Low
37300,8,0,1,3,12,Low
37400,10,0,2,1,13,Low
37500,10,0,1,0,11,Low
37600,15,0,1,0,16,Low
37700,13,0,0,0,13,Low
37800,8,0,0,1,9,Low
37900,9,0,0,0,9,Low
38000,10,0,0,1,11,Low
38100,10,0,0,1,11,Low
38200,7,0,0,0,7,Low
38300,12,0,0,0,12,Low
38400,12,0,0,1,13,Low
38500,8,0,1,1,10,Low
38600,10,0,0,1,11,Low
38700,12,0,0,0,12,Low
38800,9,0,0,0,9,Low
38900,15,0,0,2,17,Low
39000,14,0,1,0,15,Low
39100,15,0,2,1,18,Low
39200,14,0,0,0,14,Low
39300,10,0,0,0,10,Low
39400,13,0,0,0,13,Low
39500,9,0,0,1,10,Low
39600,11,0,0,0,11,Low
39700,6,0,1,1,8,Low
39800,10,0,1,1,12,Low
39900,11,0,1,0,12,Low
40000,8,0,1,0,9,Low
40100,14,0,1,0,15,Low
40200,12,0,0,0,12,Low
40300,14,0,1,1,16,Low
40400,11,0,1,1,13,Low
40500,11,0,2,1,14,Low
40600,12,0,0,1,13,Low
40700,8,0,2,0,10,Low
40800,14,0,0,0,14,Low
40900,13,0,1,3,17,Low
41000,16,0,0,0,16,Low
41100,13,0,0,0,13,Low
41200,14,0,1,0,15,Low
41300,10,0,2,0,12,Low
41400,12,0,1,1,14,Low
41500,14,0,0,1,15,Low
41600,11,0,0,1,12,Low
41700,11,0,1,0,12,Low
41800,13,0,1,1,15,Low
41900,7,0,0,0,7,Low
42000,8,0,0,0,8,Low
42100,10,0,1,1,12,Low
42200,15,0,0,0,15,Low
42300,12,0,1,2,15,Low
42400,12,0,1,0,13,Low
42500,12,0,1,3,16,Low
42600,12,0,1,1,14,Low
42700,13,0,1,0,14,Low
42800,14,0,0,0,14,Low
42900,13,0,0,1,14,Low
43000,13,0,1,1,15,Low
43100,9,0,0,1,10,Low
43200,11,0,0,2,13,Low
43300,12,0,1,1,14,Low
43400,10,0,4,0,14,Low
43500,11,0,2,2,15,Low
43600,16,0,0,1,17,Low
43700,11,0,2,2,15,Low
43800,12,0,3,1,16,Low
43900,9,0,3,1,13,Low
44000,8,0,1,1,10,Low
44100,10,0,1,0,11,Low
44200,10,0,1,2,13,Low
44300,13,0,0,0,13,Low
44400,16,0,0,1,17,Low
44500,16,0,0,1,17,Low
44600,14,0,1,2,17,Low
44700,18,0,1,1,20,Medium
44800,17,0,0,0,17,Low
44900,14,0,0,1,15,Low
45000,11,0,0,1,12,Low
45100,15,0,2,0,17,Low
45200,12,0,0,0,12,Low
45300,13,0,0,0,13,Low
45400,11,0,1,0,12,Low
45500,12,0,1,0,13,Low
45600,10,0,2,0,12,Low
45700,12,0,0,0,12,Low
45800,9,0,1,2,12,Low
45900,12,0,1,0,13,Low
46000,10,0,0,0,10,Low
46100,12,0,2,3,17,Low
46200,7,0,1,0,8,Low
46300,11,0,0,0,11,Low
46400,9,0,0,0,9,Low
46500,13,0,0,1,14,Low
46600,14,0,0,1,15,Low
46700,12,0,0,0,12,Low
46800,14,0,0,0,14,Low
46900,10,0,2,2,14,Low
47000,9,0,3,0,12,Low
47100,11,0,0,1,12,Low
47200,14,0,0,0,14,Low
47300,8,0,1,3,12,Low
47400,12,0,2,1,15,Low
47500,12,0,1,0,13,Low
47600,12,0,0,1,13,Low
47700,9,0,1,1,11,Low
47800,9,0,2,1,12,Low
47900,13,0,1,1,15,Low
48000,11,0,1,1,13,Low
48100,11,0,1,0,12,Low
48200,11,0,1,1,13,Low
48300,11,0,0,0,11,Low
48400,12,0,0,0,12,Low
48500,9,0,0,0,9,Low
48600,12,0,0,0,12,Low
48700,12,0,0,0,12,Low
48800,4,0,2,0,6,Low
48900,7,0,3,0,10,Low
49000,11,0,1,0,12,Low
49100,11,0,0,0,11,Low
49200,15,0,0,0,15,Low
49300,13,0,0,1,14,Low
49400,12,0,0,2,14,Low
49500,15,0,1,0,16,Low
49600,8,0,3,0,11,Low
49700,13,0,2,0,15,Low
49800,11,0,1,1,13,Low
49900,17,0,0,0,17,Low
50000,16,0,0,0,16,Low
50100,17,0,0,0,17,Low
50200,18,0,1,0,19,Low
50300,13,0,0,2,15,Low
50400,17,0,1,1,19,Low
50500,15,0,1,0,16,Low
50600,11,0,3,2,16,Low
50700,13,0,1,2,16,Low
50800,16,0,0,0,16,Low
50900,17,0,1,0,18,Low
51000,16,0,0,0,16,Low
51100,0,0,0,0,0,Low
51200,0,0,0,0,0,Low
